cycle,mia_score,retain_acc,forget_acc,test_acc,unlearning_time
1,54.033333333333324,99.97777777777777,97.64444444444445,91.329901659496,23.24166226387024
2,53.514619883040936,99.82990397805213,96.88888888888889,90.89966195451751,21.989190578460693
3,53.572744014732955,99.9634202103338,97.72866789441375,91.20313460356485,19.278474807739258
4,52.92416452442159,99.93903471634208,97.08226221079691,91.20313460356485,17.573159217834473
5,53.13212608987256,99.93226207052271,97.31615673644659,91.34526736324524,15.365033626556396
