cycle,mia_score,retain_acc,forget_acc,test_acc,unlearning_time
1,51.54444444444445,98.00987654320987,93.37777777777778,90.45021511985249,21.365057706832886
2,51.771929824561425,97.05624142661179,91.69590643274854,88.36432083589429,17.745789051055908
3,51.184775936157166,96.56454808718183,90.44812768569675,88.12231100184388,16.411915063858032
4,51.883033419023114,97.10076206604572,91.38817480719794,88.09157959434542,16.154308557510376
5,51.95171026156943,96.0900161818387,90.25764895330113,86.56653349723418,15.153466701507568
