cycle,mia_score,retain_acc,forget_acc,test_acc,unlearning_time
1,49.18888888888889,99.7358024691358,91.6,91.63721573448063,23.13128972053528
2,49.78362573099416,99.84362139917695,91.6608187134503,91.33758451137062,21.208219051361084
3,49.92633517495395,99.42081999695168,90.48496009821977,90.23509526736325,18.593055486679077
4,50.83547557840616,99.58001693480102,90.56555269922879,89.07114320835895,16.673073291778564
5,50.020120724346064,99.78549655665525,90.40526033279656,90.1160110633067,14.977998495101929
